Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Genres,CoverUrl
218319936,The Nvidia Way: Jensen Huang and the Making of a Tech Giant,Tae   Kim,"Kim, Tae",,"=""1324086726""","=""9781324086727""",0,4.32,W. W. Norton & Company,Kindle Edition,268,2024,,,2025/12/27,to-read,to-read (#318),to-read,,,,0,0,,https://books.google.com/books/content?id=YjoeEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api|https://covers.openlibrary.org/b/isbn/9781324086727-L.jpg
53443339,"Troy (Stephen Fry's Great Mythology, #3)",Stephen Fry,"Fry, Stephen",,"=""0241424585""","=""9780241424582""",0,4.35,Michael Joseph,Hardcover,414,2020,2020,2025/12/20,2023/01/16,,,read,,,,1,0,Religion; Classical philology; Trojan War; Legends; Greek Mythology,https://covers.openlibrary.org/b/isbn/9780241424582-L.jpg
679418,Cable Cowboy,Mark Robichaux,"Robichaux, Mark",,"=""047170637X""","=""9780471706373""",0,4.25,Wiley,Paperback,336,2005,2002,,2024/02/13,currently-reading,currently-reading (#3),currently-reading,,,,1,0,Biography; Business; Businessmen; Cable television; Nonfiction,https://covers.openlibrary.org/b/id/306433-L.jpg|https://covers.openlibrary.org/b/isbn/9780471706373-L.jpg
223239535,"Conform (Conform, #1)",Ariel Sullivan,"Sullivan, Ariel",,"=""""","=""9798217090990""",0,4.14,Ballantine Books,Hardcover,416,2025,2025,2025/12/03,2025/12/01,,,read,,,,1,0,,https://books.google.com/books/content?id=RCc8EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api|https://covers.openlibrary.org/b/isbn/9798217090990-L.jpg
24611668,Saturn Run,John Sandford,"Sandford, John",Ctein,"=""0399176950""","=""9780399176951""",0,3.92,G.P. Putnam's Sons,Hardcover,486,2015,2015,,2025/11/26,to-read,to-read (#317),to-read,,,,0,0,nyt:combined-print-and-e-book-fiction=2015-10-25; New York Times bestseller; Quests (Expeditions); Fiction; nyt:hardcover-fiction=2015-10-25,https://covers.openlibrary.org/b/id/8740602-L.jpg|https://covers.openlibrary.org/b/isbn/9780399176951-L.jpg
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",0,4.36,Ecco,Hardcover,368,2022,2022,2025/11/23,2025/11/18,,,read,,,,1,0,nyt:hardcover-fiction=2022-05-22; New York Times bestseller; Octopuses; Fiction; Widows,https://covers.openlibrary.org/b/id/14809692-L.jpg|https://covers.openlibrary.org/b/isbn/9780063204157-L.jpg
56783258,Cloud Cuckoo Land,Anthony Doerr,"Doerr, Anthony",,"=""1982168439""","=""9781982168438""",0,4.25,Scribner,Hardcover,626,2021,2021,2025/11/23,2025/04/03,,,read,,,,1,0,"American literature; nyt:combined-print-and-e-book-fiction=2021-10-17; New York Times bestseller; Fiction, historical, medieval; Fiction, multiple timelines",https://covers.openlibrary.org/b/id/13253465-L.jpg|https://covers.openlibrary.org/b/isbn/9781982168438-L.jpg
54736620,"Ask Iwata: Words of Wisdom from Satoru Iwata, Nintendo's Legendary CEO",Satoru Iwata,"Iwata, Satoru",Hobonichi,"=""197472154X""","=""9781974721542""",0,4.14,VIZ Media LLC,Hardcover,154,2021,2021,,2025/11/21,to-read,to-read (#316),to-read,,,,0,0,Economics,https://covers.openlibrary.org/b/id/10332879-L.jpg|https://covers.openlibrary.org/b/isbn/9781974721542-L.jpg
299758,The Citadel of the Autarch,Gene Wolfe,"Wolfe, Gene",,"=""0671496662""","=""9780671496661""",0,4.25,Timescape Books,Paperback,330,1983,1983,,2025/11/21,to-read,to-read (#315),to-read,,,,0,0,"Science fiction; American Science fiction; Fiction, science fiction, general",https://covers.openlibrary.org/b/id/6902571-L.jpg|https://covers.openlibrary.org/b/isbn/9780671496661-L.jpg
199736113,The Slight Edge: Turning Simple Disciplines into Massive Success and Happiness,Jeff Olson,"Olson, Jeff",,"=""""","=""""",0,4.37,Greenleaf Book Group,Audible Audio,,2023,,,2025/08/04,to-read,to-read (#272),to-read,,,,0,0,,
463378,The Sword of the Lictor,Gene Wolfe,"Wolfe, Gene",,"=""0671631934""","=""9780671631932""",0,4.22,Timescape Books,Hardcover,279,1981,1982,,2025/11/21,to-read,to-read (#314),to-read,,,,0,0,Science fiction,https://covers.openlibrary.org/b/isbn/9780671631932-L.jpg
463376,The Claw of the Conciliator,Gene Wolfe,"Wolfe, Gene",,"=""0671416162""","=""9780671416164""",0,4.00,Pocket,Paperback,303,1982,1981,,2025/11/21,to-read,to-read (#313),to-read,,,,0,0,"Science fiction; award:nebula_award=novel; Fiction, science fiction, general",https://covers.openlibrary.org/b/id/8768928-L.jpg|https://covers.openlibrary.org/b/isbn/9780671416164-L.jpg
968868,The Book of the New Sun,Gene Wolfe,"Wolfe, Gene",,"=""1568658079""","=""9781568658070""",0,4.24,SFBC,Hardcover,950,1998,1983,,2025/11/21,to-read,to-read (#312),to-read,,,,0,0,Science fiction; American Fantasy fiction,https://covers.openlibrary.org/b/id/14836065-L.jpg|https://covers.openlibrary.org/b/isbn/9781568658070-L.jpg
239775146,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""1400079276""","=""9781400079278""",0,4.12,Vintage International,Paperback,467,2025,2002,,2025/11/21,to-read,to-read (#311),to-read,,,,0,0,Self-actulaization (Psychology); Fiction; Miscellanea; Japanese Authors; Runaway teenagers,https://covers.openlibrary.org/b/id/6376109-L.jpg|https://covers.openlibrary.org/b/isbn/9781400079278-L.jpg
11275,The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0965341984""","=""9780965341981""",0,4.14,Knopf,Paperback,607,1997,1994,,2025/11/21,to-read,to-read (#310),to-read,,,,0,0,literary fiction; contemporary fantasy; psychological fiction; parapsychology; fate and fatalism,https://covers.openlibrary.org/b/id/10439779-L.jpg|https://covers.openlibrary.org/b/isbn/9780965341981-L.jpg
23876,Of Love and Other Demons,Gabriel García Márquez,"Márquez, Gabriel García",,"=""0517405091""","=""9780517405093""",0,3.95,Random House Value Publishing,Paperback,160,1999,1994,,2025/11/21,to-read,to-read (#308),to-read,,,,0,0,Man-woman relationships; Readers; Spanish language; Fiction; Exorcism,https://covers.openlibrary.org/b/isbn/9780517405093-L.jpg
23884,The General in His Labyrinth,Gabriel García Márquez,"Márquez, Gabriel García",Edith Grossman,"=""1400043336""","=""9781400043330""",0,3.69,Everyman's Library,Hardcover,248,2004,1989,,2025/11/21,to-read,to-read (#307),to-read,,,,0,0,Fiction; Ficción; Heads of state; Novela; Politicians,https://covers.openlibrary.org/b/id/745370-L.jpg|https://covers.openlibrary.org/b/isbn/9781400043330-L.jpg
9712,Love in the Time of Cholera,Gabriel García Márquez,"Márquez, Gabriel García","Edith Grossman, Kjell Risvik, Carlos Marrodán Casas","=""140003468X""","=""9781400034680""",0,3.94,Vintage International,Paperback,348,2003,1985,,2025/11/21,to-read,to-read (#306),to-read,,,,0,0,Vida familiar; Family life; Historias de amor; Love stories; Ficció histórica,https://covers.openlibrary.org/b/id/10096442-L.jpg|https://covers.openlibrary.org/b/isbn/9781400034680-L.jpg
23887,The Autumn of the Patriarch,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""0060882867""","=""9780060882860""",0,3.86,Harper Perennial Modern Classics,Paperback,255,2006,1975,,2025/11/21,to-read,to-read (#305),to-read,,,,0,0,Fiction; Latin American fiction; Fiction in Spanish; Dictators in fiction; Translations into English,https://covers.openlibrary.org/b/id/9296189-L.jpg|https://covers.openlibrary.org/b/isbn/9780060882860-L.jpg
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""""","=""""",0,3.99,Vintage Books,Paperback,296,2000,1987,,2025/11/21,to-read,to-read (#309),to-read,,,,0,0,,
156784,Permutation City,Greg Egan,"Egan, Greg",,"=""006105481X""","=""9780061054815""",0,4.05,HarperPrism,Mass Market Paperback,352,1995,1994,,2025/11/21,to-read,to-read (#304),to-read,,,,0,0,"Twenty-first century in fiction; Twenty-first century; Fiction; Fiction, science fiction, general; Distopian",https://covers.openlibrary.org/b/id/44156-L.jpg|https://covers.openlibrary.org/b/isbn/9780061054815-L.jpg
20706284,Ancillary Sword (Imperial Radch #2),Ann Leckie,"Leckie, Ann",,"=""0316246654""","=""9780316246651""",0,4.08,Orbit,Paperback,359,2014,2014,,2025/11/21,to-read,to-read (#302),to-read,,,,0,0,"Science Fiction; Fiction; Quests (Expeditions); Revenge; Fiction, science fiction, space opera",https://covers.openlibrary.org/b/id/7422984-L.jpg|https://covers.openlibrary.org/b/isbn/9780316246651-L.jpg
29397,"Woken Furies (Takeshi Kovacs, #3)",Richard K. Morgan,"Morgan, Richard K.",,"=""0345479718""","=""9780345479716""",0,4.01,Del Rey,Hardcover,464,2005,2005,,2025/11/21,to-read,to-read (#301),to-read,,,,0,0,"Life on other planets; Fiction; Life on other planets -- Fiction.; Fiction, science fiction, space opera; Takesji Kovacs (Fictitious character)",https://covers.openlibrary.org/b/id/211838-L.jpg|https://covers.openlibrary.org/b/isbn/9780345479716-L.jpg
279561,"Broken Angels (Takeshi Kovacs, #2)",Richard K. Morgan,"Morgan, Richard K.",,"=""0345457714""","=""9780345457714""",0,3.92,Del Rey,Trade Paperback,366,2004,2003,,2025/11/21,to-read,to-read (#300),to-read,,,,0,0,"Fiction; Science Fiction; Fiction, science fiction, hard science fiction; Mercenary troops; Space vehicles",https://covers.openlibrary.org/b/id/210814-L.jpg|https://covers.openlibrary.org/b/isbn/9780345457714-L.jpg
149049,The Fountains of Paradise,Arthur C. Clarke,"Clarke, Arthur C.",,"=""0446677949""","=""9780446677943""",0,3.95,Aspect,Paperback,332,2001,1979,,2025/11/21,to-read,to-read (#299),to-read,,,,0,0,Fiction; Mountains; Elevators; Monks; Design and construction,https://covers.openlibrary.org/b/id/6623393-L.jpg|https://covers.openlibrary.org/b/isbn/9780446677943-L.jpg
54479,Around the World in Eighty Days,Jules Verne,"Verne, Jules","Brian W. Aldiss, Michael Glencross","=""014044906X""","=""9780140449068""",0,3.95,"Penguin Books ",Paperback,252,2004,1872,,2025/11/21,to-read,to-read (#298),to-read,,,,0,0,"Viajes alrededor del mundo; Translations into Gujarati; Fiction; Translations from French; Children's stories, French",https://covers.openlibrary.org/b/id/104335-L.jpg|https://covers.openlibrary.org/b/isbn/9780140449068-L.jpg
32827,From the Earth to the Moon,Jules Verne,"Verne, Jules",,"=""1598184547""","=""9781598184549""",0,3.75,Aegypan,Paperback,136,2006,1865,,2025/11/21,to-read,to-read (#297),to-read,,,,0,0,"Continental european fiction (fictional works by one author); Fiction, science fiction, general; Ciencia-ficción; French language; Imaginary Voyages",https://covers.openlibrary.org/b/id/879214-L.jpg|https://covers.openlibrary.org/b/isbn/9781598184549-L.jpg
29981,The Island of Dr. Moreau,H.G. Wells,"Wells, H.G.",Alan Lightman,"=""0553214322""","=""9780553214321""",0,3.73,Bantam Classic & Loveswept,Unknown Binding,160,1999,1896,,2025/11/21,to-read,to-read (#296),to-read,,,,0,0,"Islands; Survival after airplane accidents, shipwrecks; Fiction; Animal experimentation; Horror stories",https://covers.openlibrary.org/b/id/368564-L.jpg|https://covers.openlibrary.org/b/isbn/9780553214321-L.jpg
41820,"Pebble in the Sky (Galactic Empire, #3)",Isaac Asimov,"Asimov, Isaac",,"=""0553293427""","=""9780553293425""",0,3.90,Bantam,Mass Market Paperback,308,1991,1950,,2025/11/21,to-read,to-read (#295),to-read,,,,0,0,Fiction in English; American Science fiction; Science fiction; Dystopias; Time travel,https://covers.openlibrary.org/b/id/12187254-L.jpg|https://covers.openlibrary.org/b/isbn/9780553293425-L.jpg
23533039,"Ancillary Mercy (Imperial Radch, #3)",Ann Leckie,"Leckie, Ann",,"=""""","=""""",0,4.22,Orbit,Paperback,328,2015,2015,,2025/11/21,to-read,to-read (#303),to-read,,,,0,0,,
85434,"The Currents of Space (Galactic Empire, #2)",Isaac Asimov,"Asimov, Isaac",,"=""0553293419""","=""9780553293418""",0,3.85,Spectra,Mass Market Paperback,304,1991,1952,,2025/11/21,to-read,to-read (#294),to-read,,,,0,0,"Science fiction; Fiction, science fiction, general; sci-fi; science; space",https://covers.openlibrary.org/b/id/13895751-L.jpg|https://covers.openlibrary.org/b/isbn/9780553293418-L.jpg
41822,"The Stars, Like Dust (Galactic Empire, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553293435""","=""9780553293432""",0,3.74,Spectra,Mass Market Paperback,293,1991,1951,,2025/11/21,to-read,to-read (#293),to-read,,,,0,0,Science fiction; Space colonies; Imperialism; Manned space flight; Fiction,https://covers.openlibrary.org/b/id/12006974-L.jpg|https://covers.openlibrary.org/b/isbn/9780553293432-L.jpg
651964,"The Positronic Man (Robot, #0.6)",Isaac Asimov,"Asimov, Isaac",Robert Silverberg,"=""0553561219""","=""9780553561210""",0,4.13,Bantam/Spectra,Paperback,290,1994,1992,,2025/11/21,to-read,to-read (#292),to-read,,,,0,0,Robots; Fiction; Ficción; Ciencia-ficción; Science fiction,https://covers.openlibrary.org/b/id/14318394-L.jpg|https://covers.openlibrary.org/b/isbn/9780553561210-L.jpg
41823,"Robot Visions (Robot, #0.5)",Isaac Asimov,"Asimov, Isaac",,"=""0451450647""","=""9780451450647""",0,4.23,RoC,Mass Market Paperback,496,1991,1990,,2025/11/21,to-read,to-read (#291),to-read,,,,0,0,Robots; Fiction; American Science fiction; NOVELAS DE CIENCIA FICCION ESTADOUNIDENSES; Short stories,https://covers.openlibrary.org/b/id/8363546-L.jpg|https://covers.openlibrary.org/b/isbn/9780451450647-L.jpg
41818,"Robot Dreams (Robot, #0.4)",Isaac Asimov,"Asimov, Isaac",Ralph McQuarrie,"=""0441011837""","=""9780441011834""",0,4.16,Ace Trade,Paperback,352,2004,1983,,2025/11/21,to-read,to-read (#290),to-read,,,,0,0,American Science fiction; Translations into Russian; Robots in fiction; Robots; Fiction,https://covers.openlibrary.org/b/id/9300867-L.jpg|https://covers.openlibrary.org/b/isbn/9780441011834-L.jpg
50091,"The Complete Robot (Robot, #0.3)",Isaac Asimov,"Asimov, Isaac",,"=""0586057242""","=""9780586057247""",0,4.33,Voyager/HarperCollins,Mass Market Paperback,688,1995,1982,,2025/11/21,to-read,to-read (#289),to-read,,,,0,0,American Science fiction; English language; Fiction; Robots; Text-books for foreign speakers,https://covers.openlibrary.org/b/id/382230-L.jpg|https://covers.openlibrary.org/b/isbn/9780586057247-L.jpg
272773,"The Rest of the Robots (Robot, #0.2)",Isaac Asimov,"Asimov, Isaac",,"=""0586025944""","=""9780586025949""",0,4.09,Granada Publishing in Panther books,Mass Market Paperback,224,1968,1964,,2025/11/21,to-read,to-read (#288),to-read,,,,0,0,"Fiction, science fiction, hard science fiction; Fiction, short stories (single author)",https://covers.openlibrary.org/b/id/12855960-L.jpg|https://covers.openlibrary.org/b/isbn/9780586025949-L.jpg
31360,"Children of the Mind (Ender's Saga, #4)",Orson Scott Card,"Card, Orson Scott",,"=""0765304740""","=""9780765304742""",0,3.78,Tor Books,Paperback,370,2002,1996,,2025/11/21,to-read,to-read (#287),to-read,,,,0,0,"Science Fiction; Fiction; Fiction, science fiction, general; Wiggin, ender (fictitious character), fiction; Ender Wiggin (Fictitious character)",https://covers.openlibrary.org/b/id/524091-L.jpg|https://covers.openlibrary.org/b/isbn/9780765304742-L.jpg
8648,"Xenocide (Ender's Saga, #3)",Orson Scott Card,"Card, Orson Scott",,"=""0312861877""","=""9780312861872""",0,3.82,Tor Books,Mass Market Paperback,592,1996,1991,,2025/11/21,to-read,to-read (#286),to-read,,,,0,0,"Space warfare; Fiction; Fiction, science fiction, hard science fiction; Fiction, fantasy, epic; Reading Level-Grade 7",https://covers.openlibrary.org/b/id/182629-L.jpg|https://covers.openlibrary.org/b/isbn/9780312861872-L.jpg
6091075,"So Long, and Thanks for All the Fish (The Hitchhiker's Guide to the Galaxy, #4)",Douglas Adams,"Adams, Douglas",,"=""0307497909""","=""9780307497901""",0,4.08,Del Rey,Kindle Edition,225,2008,1984,,2025/11/21,to-read,to-read (#285),to-read,,,,0,0,Trilogy of Four; fantasy fiction; Fiction; Interplanetary voyages; Science Fiction,https://covers.openlibrary.org/b/id/8250534-L.jpg|https://covers.openlibrary.org/b/isbn/9780307497901-L.jpg
569429,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",Douglas Adams,"Adams, Douglas",,"=""0345379330""","=""9780345379337""",0,3.96,Random House Worlds,Paperback,288,1993,1992,,2025/11/21,to-read,to-read (#284),to-read,,,,0,0,Ford Prefect (Fictitious character); Arthur Dent (Fictitious character); Interplanetary voyages; Fiction; English literature,https://covers.openlibrary.org/b/id/6879044-L.jpg|https://covers.openlibrary.org/b/isbn/9780345379337-L.jpg
154091,"Mona Lisa Overdrive (Sprawl, #3)",William Gibson,"Gibson, William",,"=""0553281747""","=""9780553281743""",0,4.02,Bantam Doubleday Dell Publishing Group,Mass Market Paperback,308,1989,1988,,2025/11/21,to-read,to-read (#283),to-read,,,,0,0,"Science fiction; Fiction, general; American literature; Long Now Manual for Civilization; Sprawl Trilogy",https://covers.openlibrary.org/b/id/8696716-L.jpg|https://covers.openlibrary.org/b/isbn/9780553281743-L.jpg
6561374,We Can Remember It for You Wholesale,Philip K. Dick,"Dick, Philip K.",,"=""1435510143""","=""9781435510142""",0,3.95,TeknoBooks,ebook,29,2007,1966,,2025/11/21,to-read,to-read (#281),to-read,,,,0,0,,https://covers.openlibrary.org/b/isbn/9781435510142-L.jpg
581125,The Minority Report,Philip K. Dick,"Dick, Philip K.",,"=""0375421874""","=""9780375421877""",0,3.85,Pantheon,Hardcover,112,2002,1956,,2025/11/21,to-read,to-read (#280),to-read,,,,0,0,"American Science fiction; Fiction, science fiction, general; Crime prevention; Fiction; Science Fiction",https://covers.openlibrary.org/b/id/226833-L.jpg|https://covers.openlibrary.org/b/isbn/9780375421877-L.jpg
219551344,Who Is Government? The Untold Story of Public Service,Michael   Lewis,"Lewis, Michael","Casey Cep, Dave Eggers, John Lanchester, Geraldine Brooks, Sarah Vowell, W. Kamau Bell","=""""","=""9798217047802""",0,4.18,Riverhead Books,Hardcover,272,2025,2025,2025/11/18,2025/11/13,,,read,,,,1,0,"Public administration; United states, officials and employees; United states, politics and government",https://covers.openlibrary.org/b/isbn/9798217047802-L.jpg
63241104,Tom Lake,Ann Patchett,"Patchett, Ann",,"=""006332752X""","=""9780063327528""",0,3.93,Harper,Hardcover,320,2023,2023,2025/11/13,2025/11/07,,,read,,,,1,0,nyt:combined-print-and-e-book-fiction=2023-08-20; New York Times bestseller,https://covers.openlibrary.org/b/id/13454692-L.jpg|https://covers.openlibrary.org/b/isbn/9780063327528-L.jpg
179550498,James,Percival Everett,"Everett, Percival",,"=""0385550375""","=""9780385550376""",0,4.44,Doubleday,ebook,304,2024,2024,2025/11/07,2025/07/20,,,read,,,,1,0,"American literature; nyt:combined-print-and-e-book-fiction=2024-04-07; New York Times bestseller; Finn, huckleberry (fictitious character), fiction; Enslaved persons, fiction",https://covers.openlibrary.org/b/id/14619520-L.jpg|https://covers.openlibrary.org/b/isbn/9780385550376-L.jpg
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",0,4.13,Ballantine Books,Hardcover,342,2016,2016,2025/11/03,2022/10/07,,,read,,,,1,0,Kidnapping; Fiction; Reality; Science Fiction; Psychological,https://covers.openlibrary.org/b/id/8397279-L.jpg|https://covers.openlibrary.org/b/isbn/9781101904220-L.jpg
22200,"Count Zero (Sprawl, #2)",William Gibson,"Gibson, William",,"=""""","=""""",0,4.02,Ace Books,Paperback,308,2006,1986,,2025/11/21,to-read,to-read (#282),to-read,,,,0,0,,
58065033,Lessons in Chemistry,Bonnie Garmus,"Garmus, Bonnie",,"=""""","=""""",0,4.28,Doubleday Books,Hardcover,390,2022,2022,2025/11/06,2023/01/08,,,read,,,,1,0,,
176444106,Abundance,Ezra Klein,"Klein, Ezra",Derek   Thompson,"=""1668023482""","=""9781668023488""",0,3.95,Avid Reader Press / Simon & Schuster,Hardcover,304,2025,2025,2025/10/31,2025/07/20,,,read,,,,1,0,,https://covers.openlibrary.org/b/isbn/9781668023488-L.jpg|https://books.google.com/books/content?id=kMNHEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
31920777,American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road,Nick Bilton,"Bilton, Nick",,"=""1591848148""","=""9781591848141""",0,4.41,Portfolio,Hardcover,328,2017,2017,2025/10/30,2025/10/10,,,read,,,,1,0,"Criminals, united states; Computer crimes; Black market; Drug traffic; Electronic commerce",https://covers.openlibrary.org/b/id/13196769-L.jpg|https://covers.openlibrary.org/b/isbn/9781591848141-L.jpg
459504,"The System of the World (The Baroque Cycle, Vol. 3, Book 3)",Neal Stephenson,"Stephenson, Neal",,"=""0060895535""","=""9780060895532""",0,4.34,HarTorch,Paperback,368,2006,2004,2024/10/25,2024/09/18,,,read,,,,1,0,Kings and rulers; Criminals; Adventure stories; Succession; Crimes against,https://covers.openlibrary.org/b/isbn/9780060895532-L.jpg
61273798,"Generations: The Real Differences Between Gen Z, Millennials, Gen X, Boomers, and Silents―and What They Mean for America's Future",Jean M. Twenge,"Twenge, Jean M.",,"=""1982181613""","=""9781982181611""",0,4.03,Atria Books,Hardcover,560,2023,2023,2025/10/24,2024/01/04,,,read,,,,1,0,,https://covers.openlibrary.org/b/id/13250350-L.jpg|https://covers.openlibrary.org/b/isbn/9781982181611-L.jpg
52668915,"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures",Merlin Sheldrake,"Sheldrake, Merlin",,"=""0525510311""","=""9780525510314""",0,4.32,Random House,Hardcover,352,2020,2020,,2025/10/10,to-read,to-read (#279),to-read,,,,0,0,Botany; Fungi; New York Times reviewed; nyt:paperback-nonfiction=2021-12-12; New York Times bestseller,https://covers.openlibrary.org/b/id/10480774-L.jpg|https://covers.openlibrary.org/b/isbn/9780525510314-L.jpg
23848139,Putin's People: How the KGB Took Back Russia and Then Took On the West,Catherine Belton,"Belton, Catherine",,"=""0374238715""","=""9780374238711""",0,4.17,"Farrar, Straus and Giroux",Hardcover,640,2020,2020,,2025/10/10,to-read,to-read (#278),to-read,,,,0,0,New York Times reviewed; Presidents; Biography; Politics and government; Foreign relations,https://covers.openlibrary.org/b/id/10254692-L.jpg|https://covers.openlibrary.org/b/isbn/9780374238711-L.jpg
61358638,"Poverty, by America",Matthew Desmond,"Desmond, Matthew",,"=""0593239911""","=""9780593239919""",0,4.27,Crown,Hardcover,284,2023,2023,2025/10/08,2023/12/31,,,read,,,,1,0,nyt:combined-print-and-e-book-nonfiction=2023-04-09; New York Times bestseller,https://covers.openlibrary.org/b/id/13239320-L.jpg|https://covers.openlibrary.org/b/isbn/9780593239919-L.jpg
12543,Bird by Bird,Anne Lamott,"Lamott, Anne",,"=""""","=""""",0,4.24,Anchor,Paperback,238,1995,1994,2025/10/27,2024/08/08,,,read,,,,1,0,,
210223811,Katabasis,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",0,3.81,HarperVoyager,Kindle Edition,559,2025,2025,2025/10/19,2025/07/14,,,read,,,,1,0,,
61149463,The Slight Edge: Turning Simple Disciplines Into Massive Success,Jeff Olson,"Olson, Jeff",,"=""""","=""""",0,4.37,,Kindle Edition,436,2022,,,2025/10/08,currently-reading,currently-reading (#2),currently-reading,,,,1,0,,
213618143,"A Drop of Corruption (Shadow of the Leviathan, #2)",Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""0593723821""","=""9780593723821""",0,4.49,Del Rey,Hardcover,461,2025,2025,2025/10/07,2025/10/04,,,read,,,,1,0,Fantasy; Mystery; Fiction; Mystery Thriller; Thriller,https://covers.openlibrary.org/b/id/14870214-L.jpg|https://covers.openlibrary.org/b/isbn/9780593723821-L.jpg
78983,"Kane & Abel (Kane & Abel, #1)",Jeffrey Archer,"Archer, Jeffrey",,"=""0312995059""","=""9780312995058""",0,4.35,St. Martin's Paperbacks,Paperback,592,2004,1979,2025/09/30,2025/07/13,,,read,,,,1,0,Titanic; Poles; Boston Brahmins; Historical fiction; hotelkeepers,https://covers.openlibrary.org/b/id/185559-L.jpg|https://covers.openlibrary.org/b/isbn/9780312995058-L.jpg
150247395,"The Tainted Cup (Shadow of the Leviathan, #1)",Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""1984820702""","=""9781984820709""",0,4.30,Del Rey,Hardcover,432,2024,2024,2025/09/18,2023/12/31,,,read,,,,1,0,American literature; Hugo Award Winner; award:hugo_award=2025; award:hugo_award=novel,https://covers.openlibrary.org/b/id/14578473-L.jpg|https://covers.openlibrary.org/b/isbn/9781984820709-L.jpg
34466958,Bullshit Jobs: A Theory,David Graeber,"Graeber, David",,"=""150114331X""","=""9781501143311""",0,4.02,Simon & Schuster,Hardcover,335,2018,2018,2025/09/15,2025/07/12,,,read,,,,1,0,Bureaucracy; Job satisfaction; Psychological aspects; Social aspects; Work,https://covers.openlibrary.org/b/id/8232294-L.jpg|https://covers.openlibrary.org/b/isbn/9781501143311-L.jpg
48816586,Software Engineering at Google: Lessons Learned from Programming Over Time,Titus Winters,"Winters, Titus","Tom Manshreck, Hyrum Wright","=""1492082791""","=""9781492082798""",0,4.20,O'Reilly Media,Paperback,602,2020,2020,,2025/09/12,to-read,to-read (#277),to-read,,,,0,0,"System design; Computer software, development, management; Computer architecture",https://covers.openlibrary.org/b/id/10450993-L.jpg|https://covers.openlibrary.org/b/isbn/9781492082798-L.jpg
61058107,The Staff Engineer's Path: A Guide for Individual Contributors Navigating Growth and Change,Tanya Reilly,"Reilly, Tanya",,"=""1098118731""","=""9781098118730""",0,4.37,O'Reilly Media,Paperback,335,2022,2022,2025/09/10,2025/09/05,,,read,,,,1,0,,https://covers.openlibrary.org/b/id/14706343-L.jpg|https://covers.openlibrary.org/b/isbn/9781098118730-L.jpg
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",0,4.12,Harper,Mass Market Paperback,417,2003,1967,2025/10/04,2024/01/07,,,read,,,,1,0,,
34066798,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,"=""""","=""""",0,4.32,Penguin Books,Paperback,495,2019,2016,2025/09/23,2024/08/17,,,read,,,,1,0,,
13642,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",0,4.01,,Paperback,183,2004,1968,2025/09/12,2024/12/28,,,read,,,,1,0,,
56481725,Staff Engineer: Leadership Beyond the Management Track,Will Larson,"Larson, Will",Tanya Reilly,"=""1736417908""","=""""",0,4.04,Will Larson,Kindle Edition,337,2021,,,2022/10/07,to-read,to-read (#276),to-read,,,,1,0,,
39863447,"Loonshots: How to Nurture the Crazy Ideas That Win Wars, Cure Diseases, and Transform Industries",Safi Bahcall,"Bahcall, Safi",,"=""1250185963""","=""9781250185969""",0,4.00,St. Martin's Press,Hardcover,368,2019,2019,2025/09/05,2023/01/16,,,read,,,,1,0,Economics,https://covers.openlibrary.org/b/id/8518798-L.jpg|https://covers.openlibrary.org/b/isbn/9781250185969-L.jpg
